,SurrType.ALAMO,SurrType.NDCT,SurrType.PYSMO_PLY,SurrType.PYSMO_RBF,SurrType.PYSMO_KRG,SurrType.KERAS
fs.bypass_frac,0.1000000257850438,0.1000462445410255,0.10000003344593766,0.10000005998946368,0.10000006276226872,0.10000020178476718
fs.ng_steam_ratio,1.130836161588659,1.1157315976639983,1.1264507132846124,1.1243048026994087,1.1244558882567066,1.1006766812641906
fs.steam_flowrate,1.233375294773708,1.1874178579655263,1.228592184399,1.2261527144633966,1.2263964852678753,1.1878833120325891
fs.reformer_duty,39226.32452970601,38005.26155325543,39131.266429529736,39062.177088772856,39081.122030171646,38002.37725900291
fs.AR,0.004107048407114841,0.004106911883062347,0.004107212833189373,0.0041072130020488725,0.004107217444186376,0.004116895719058159
fs.C2H6,0.0004966415733548695,0.0005691964276491916,0.0005193271898514416,0.0005453288348032766,0.0005184968980087627,0.0004913985386453065
fs.C3H8,0.00010864063826325707,0.00012451173682433638,0.00011361217260960935,0.00011929062292419034,0.00011389217013717026,0.0001253913718578063
fs.C4H10,6.213266935069964e-05,7.111708002293945e-05,6.525976910465177e-05,6.818950364290483e-05,6.5008120607432e-05,6.92381737524146e-05
fs.CH4,0.015527180961169637,0.017722726839957625,0.016200337711862335,0.01699147207224911,0.01622161977567913,0.017457970580706608
fs.CO,0.10468660875321693,0.10510954796035055,0.10441850684121426,0.10485552642850297,0.10484440223748703,0.10608504259193292
fs.CO2,0.0537285283345595,0.05327406780032082,0.05356139510136165,0.05352809881741185,0.05353230234779187,0.05310177291114026
fs.H2,0.33185668869191737,0.3313849115410652,0.33169227859422723,0.3316875838915036,0.3316771831997056,0.3325004630008023
fs.H2O,0.1498584009825707,0.1476369726795612,0.14905550911492418,0.14891821368783936,0.148977732201369,0.14644611972310398
fs.N2,0.34000000175031486,0.34000000471776703,0.34000000091349364,0.3400000042050904,0.3400000041968767,0.34000000169147654
fs.O2,4.0156700669357335e-21,3.3405338055575325e-20,-7.090743559715187e-16,3.408658931798976e-20,3.409388178062348e-20,3.294280951768489e-20
